date min_age_limit available_capacity pincode name state_name district_name fee_type
13-05-2021 18 185 247656 "Nagar Palika Hall Manglore" Uttarakhand Haridwar Free
14-05-2021 18 171 247664 "Chaman Lal Coll. Landhora" Uttarakhand Haridwar Free
12-05-2021 18 66 247656 "Nagar Palika Hall Manglore" Uttarakhand Haridwar Free
13-05-2021 18 64 247661 "RNI INTER COLLAGE BHAGWANPUR" Uttarakhand Haridwar Free
14-05-2021 18 64 247661 "BRC Bhagwanpur" Uttarakhand Haridwar Free
14-05-2021 18 57 247661 "RNI INTER COLLAGE BHAGWANPUR" Uttarakhand Haridwar Free
13-05-2021 18 39 247665 "Moolraj Inter College Ramnagar" Uttarakhand Haridwar Free
13-05-2021 18 2 247661 "BRC Bhagwanpur" Uttarakhand Haridwar Free
