date,min_age_limit,available_capacity,pincode,name,state_name,district_name,fee_type
10-05-2021,45,84,203207,UPHC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,83,203207,JUNPAT HWC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
09-05-2021,45,81,203135,APHC JAUNCHANA,Uttar Pradesh,Gautam Buddha Nagar,Free
10-05-2021,45,81,203207,KUDIKHEDA HWC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,80,203207,GHODI BHACHEDA HWC,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,80,203135,APHC Rabupura,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,76,203207,UPHC DADRI,Uttar Pradesh,Gautam Buddha Nagar,Free
10-05-2021,45,71,201301,CHC BADALPUR,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,62,201301,PHC BAROLA,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,59,203201,Chc Dadha Kasna,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,59,201301,PHC BAROLA,Uttar Pradesh,Gautam Buddha Nagar,Free
09-05-2021,45,56,203201,UPHC KASHNA,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,51,201301,CHC BADALPUR,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,50,201301,PHC MAMURA,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,42,203207,Chc Dadri,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,41,201301,UPHC TIGRI,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,41,201301,PHC BISRAKH,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,40,203135,APHC JAUNCHANA,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,33,201301,UPHC Surajpur,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,30,203207,N T PC,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,22,201301,PHC MAMURA,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,21,201301,UPHC SARFABAD,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,17,201301,PHC BAROLA,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,8,201301,UPHC RAIPUR,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,8,201301,APHC MAKODA,Uttar Pradesh,Gautam Buddha Nagar,Free
12-05-2021,45,8,201310,G I M S,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,7,201301,Esic Noida,Uttar Pradesh,Gautam Buddha Nagar,Free
13-05-2021,45,4,201310,G I M S,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,3,201301,S S P G I,Uttar Pradesh,Gautam Buddha Nagar,Free
08-05-2021,45,1,201310,G I M S,Uttar Pradesh,Gautam Buddha Nagar,Free
10-05-2021,45,1,201301,PHC BAROLA,Uttar Pradesh,Gautam Buddha Nagar,Free
11-05-2021,45,1,201301,PHC BISRAKH,Uttar Pradesh,Gautam Buddha Nagar,Free
