date min_age_limit available_capacity pincode name state_name district_name fee_type
09-05-2021 45 10 493114 "Sub Health Center BILADI" Chhattisgarh Raipur Free
09-05-2021 45 10 493661 "Dulna HWC" Chhattisgarh Raipur 
09-05-2021 45 10 493661 "Khorpa PHC A" Chhattisgarh Raipur Free
09-05-2021 45 10 493114 "SHC Tohda Tilda" Chhattisgarh Raipur Free
09-05-2021 45 10 493661 "Kurra HWC" Chhattisgarh Raipur 
09-05-2021 45 10 493661 "Chandi HWC" Chhattisgarh Raipur 
09-05-2021 45 10 493885 "Champaran PHC A" Chhattisgarh Raipur Free
09-05-2021 45 10 493225 "HWC Asounda Bangoli" Chhattisgarh Raipur Free
09-05-2021 45 10 493114 "HWC Tarashiv Tilda" Chhattisgarh Raipur Free
09-05-2021 45 10 493661 "Girhola HWC" Chhattisgarh Raipur Free
09-05-2021 45 10 493661 "Parsulidih HWC" Chhattisgarh Raipur 
09-05-2021 45 10 493221 "HWC Tarpongi Khairkhunt" Chhattisgarh Raipur Free
09-05-2021 45 10 493661 "Raveli HWC" Chhattisgarh Raipur Free
09-05-2021 45 10 493661 "Belar HWC" Chhattisgarh Raipur 
09-05-2021 45 10 493661 "Tila HWC" Chhattisgarh Raipur 
09-05-2021 45 10 493661 "Sunderkera HWC" Chhattisgarh Raipur Free
09-05-2021 45 10 493114 "HWC Khaparikala Tilda" Chhattisgarh Raipur Free
09-05-2021 45 10 493661 "Kathiya HWC" Chhattisgarh Raipur Free
09-05-2021 45 10 493661 "Torla PHC" Chhattisgarh Raipur Free
09-05-2021 45 10 493225 "Sub Health Center Farhada" Chhattisgarh Raipur Free
09-05-2021 45 10 493114 "HWC Madhi Tilda" Chhattisgarh Raipur Free
09-05-2021 45 10 493225 "HWC Budeni Kharora" Chhattisgarh Raipur Free
09-05-2021 45 10 493661 "Kolar HWC" Chhattisgarh Raipur 
09-05-2021 45 10 493661 "Sankari HWC" Chhattisgarh Raipur Free
09-05-2021 45 10 493225 "HWC Kathiya Tilda" Chhattisgarh Raipur Free
09-05-2021 45 10 493225 "HWC Khauna Bangoli" Chhattisgarh Raipur Free
09-05-2021 45 10 493114 "HWC Deori Tilda" Chhattisgarh Raipur Free
09-05-2021 45 10 493114 "HWC Sararidih Tilda" Chhattisgarh Raipur Free
09-05-2021 45 10 493661 "Khola HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493661 "Seoni HWC" Chhattisgarh Raipur Free
10-05-2021 45 10 493114 "Sub Health Center Chapa" Chhattisgarh Raipur Free
10-05-2021 45 10 493221 "HWC Kirna Khairkhunt" Chhattisgarh Raipur Free
10-05-2021 45 10 493225 "HWC Pachri Kharora" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Hasda HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493225 "Sub Health Center Beldar Siwni" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Tamasivani HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493221 "HWC Sarora Tilda" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Sarkhi HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493225 "HWC Keshla Kharora" Chhattisgarh Raipur Free
10-05-2021 45 10 493116 "HWC Tandwa Tilda" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Kendri HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493225 "HWC Alesur Kharora" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Saloni HWC" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Julum HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493221 "HWC Sankra Khairkhunt" Chhattisgarh Raipur Free
10-05-2021 45 10 493114 "HWC Raikheda Tilda" Chhattisgarh Raipur Free
10-05-2021 45 10 493225 "HWC Mura Bangoli" Chhattisgarh Raipur Free
10-05-2021 45 10 493225 "HWC Mohrenga Kharora" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Pond HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493225 "HWC Adsena Bangoli" Chhattisgarh Raipur Free
10-05-2021 45 10 493114 "Sub Health Center BILADI" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Dulna HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493661 "Khorpa PHC A" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Kurra HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493661 "Chandi HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493885 "Champaran PHC A" Chhattisgarh Raipur Free
10-05-2021 45 10 493225 "HWC Asounda Bangoli" Chhattisgarh Raipur Free
10-05-2021 45 10 493114 "HWC Tarashiv Tilda" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Girhola HWC" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Parsulidih HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493661 "Raveli HWC" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Belar HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493661 "Tila HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493661 "Sunderkera HWC" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Kathiya HWC" Chhattisgarh Raipur Free
10-05-2021 45 10 493225 "Sub Health Center Farhada" Chhattisgarh Raipur Free
10-05-2021 45 10 493114 "HWC Madhi Tilda" Chhattisgarh Raipur Free
10-05-2021 45 10 493225 "HWC Budeni Kharora" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Kolar HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493661 "Sankari HWC" Chhattisgarh Raipur Free
10-05-2021 45 10 493225 "HWC Kathiya Tilda" Chhattisgarh Raipur Free
10-05-2021 45 10 493225 "HWC Khauna Bangoli" Chhattisgarh Raipur Free
10-05-2021 45 10 493114 "HWC Deori Tilda" Chhattisgarh Raipur Free
10-05-2021 45 10 493114 "HWC Sararidih Tilda" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Khola HWC" Chhattisgarh Raipur 
10-05-2021 45 10 493661 "Abhanpur CHC B" Chhattisgarh Raipur Free
10-05-2021 45 10 493885 "GOBRA NAWAPARA B" Chhattisgarh Raipur Free
10-05-2021 45 10 493661 "Pipruad HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Seoni HWC" Chhattisgarh Raipur Free
11-05-2021 45 10 493661 "Hasda HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Tamasivani HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Sarkhi HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Kendri HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Nimora HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Saloni HWC" Chhattisgarh Raipur Free
11-05-2021 45 10 493661 "Julum HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Pond HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Dulna HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Khorpa PHC A" Chhattisgarh Raipur Free
11-05-2021 45 10 493661 "Kurra HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Chandi HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493885 "Champaran PHC A" Chhattisgarh Raipur Free
11-05-2021 45 10 493661 "Girhola HWC" Chhattisgarh Raipur Free
11-05-2021 45 10 493661 "Parsulidih HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Raveli HWC" Chhattisgarh Raipur Free
11-05-2021 45 10 493661 "Tila HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Sunderkera HWC" Chhattisgarh Raipur Free
11-05-2021 45 10 493661 "Kathiya HWC" Chhattisgarh Raipur Free
11-05-2021 45 10 493661 "Torla PHC" Chhattisgarh Raipur Free
11-05-2021 45 10 493661 "Kolar HWC" Chhattisgarh Raipur 
11-05-2021 45 10 493661 "Sankari HWC" Chhattisgarh Raipur Free
