date min_age_limit available_capacity pincode name state_name district_name fee_type
12-05-2021 45 19 600097 "KANNAGI NAGAR UPHC" "Tamil Nadu" Chennai Free
13-05-2021 45 19 600097 "KANNAGI NAGAR UCHC" "Tamil Nadu" Chennai Free
14-05-2021 45 19 600005 "TRIPLICANE UPHC1" "Tamil Nadu" Chennai Free
14-05-2021 45 19 600097 "KANNAGI NAGAR UCHC" "Tamil Nadu" Chennai Free
14-05-2021 45 18 600014 "Govt. Royapettah Hospital" "Tamil Nadu" Chennai Free
13-05-2021 45 17 600005 "TRIPLICANE UPHC1" "Tamil Nadu" Chennai Free
13-05-2021 45 17 600014 "MIRSAHIBPET UCHC 101" "Tamil Nadu" Chennai Free
15-05-2021 45 17 600005 "TRIPLICANE UPHC1" "Tamil Nadu" Chennai Free
15-05-2021 45 17 600097 "KANNAGI NAGAR UCHC" "Tamil Nadu" Chennai Free
14-05-2021 45 16 600005 "MIRSAHIBPET UPHC" "Tamil Nadu" Chennai Free
12-05-2021 45 15 600097 "KANNAGI NAGAR UCHC" "Tamil Nadu" Chennai Free
11-05-2021 45 14 600005 "MIRSAHIBPET UPHC" "Tamil Nadu" Chennai Free
11-05-2021 45 14 600115 "INJAMBAKKAM UCHC 101" "Tamil Nadu" Chennai Free
11-05-2021 45 14 600014 "MIRSAHIBPET UCHC 101" "Tamil Nadu" Chennai Free
12-05-2021 45 14 600005 "TRIPLICANE UPHC1" "Tamil Nadu" Chennai Free
13-05-2021 45 14 600005 "MIRSAHIBPET UPHC" "Tamil Nadu" Chennai Free
13-05-2021 45 14 600115 "INJAMBAKKAM UCHC 101" "Tamil Nadu" Chennai Free
14-05-2021 45 14 600097 "KANNAGI NAGAR UPHC" "Tamil Nadu" Chennai Free
17-05-2021 45 14 600102 "PERIPHERAL 2" "Tamil Nadu" Chennai Free
12-05-2021 45 13 600014 "MIRSAHIBPET UCHC 101" "Tamil Nadu" Chennai Free
14-05-2021 45 13 600014 "MIRSAHIBPET UCHC 101" "Tamil Nadu" Chennai Free
11-05-2021 45 12 600007 "PURASIWAKKAM UPHC COVAXIN" "Tamil Nadu" Chennai Free
14-05-2021 45 12 600115 "INJAMBAKKAM UCHC 101" "Tamil Nadu" Chennai Free
15-05-2021 45 12 600014 "MIRSAHIBPET UCHC 101" "Tamil Nadu" Chennai Free
11-05-2021 45 10 600030 "SHENOYNAGAR EOC" "Tamil Nadu" Chennai Free
11-05-2021 45 10 600099 "Lakshmipuram UPHC 1" "Tamil Nadu" Chennai Free
12-05-2021 45 10 600005 "MIRSAHIBPET UPHC" "Tamil Nadu" Chennai Free
14-05-2021 45 10 600005 "COMMUNITY COLLEGE UPHC" "Tamil Nadu" Chennai Free
15-05-2021 45 10 600053 "Varadharajapuram UPHC" "Tamil Nadu" Chennai Free
15-05-2021 45 10 600005 "COMMUNITY COLLEGE UPHC" "Tamil Nadu" Chennai Free
15-05-2021 45 10 600053 "Athipet UPHC" "Tamil Nadu" Chennai Free
