date min_age_limit available_capacity pincode name state_name district_name fee_type
19-05-2021 45 49 827302 "PAN BAGDA KASMAR" Jharkhand Bokaro Free
14-05-2021 45 48 827302 "CHC KASMAR 2.0" Jharkhand Bokaro Free
14-05-2021 45 48 827013 "HSC MANGO CHAS" Jharkhand Bokaro Free
14-05-2021 45 48 829114 "CHC BERMO 2.0" Jharkhand Bokaro Free
14-05-2021 45 48 827013 "ANM TC ROOM 2" Jharkhand Bokaro Free
14-05-2021 45 48 828134 "RAILWAY HOSPITAL BHOJUDIH" Jharkhand Bokaro Free
15-05-2021 45 48 828134 "PAN CKY LAGHLA" Jharkhand Bokaro Free
15-05-2021 45 48 829121 "PAN GHARAWATAD PETERWAR" Jharkhand Bokaro Free
16-05-2021 45 48 829111 "PAN BADKI CHIDRI" Jharkhand Bokaro Free
16-05-2021 45 48 827013 "PAN CHANDAHA 1" Jharkhand Bokaro Free
16-05-2021 45 48 827013 "PAN ALKUSHA 1" Jharkhand Bokaro Free
18-05-2021 45 48 829111 "PAN SAWANG DACHIN" Jharkhand Bokaro Free
18-05-2021 45 48 828134 "PAN MAHAL EAST CKY" Jharkhand Bokaro Free
19-05-2021 45 48 829144 "PAN NAWADIH" Jharkhand Bokaro Free
19-05-2021 45 48 829144 "PAN GUNJARDIH NAWADIH" Jharkhand Bokaro Free
19-05-2021 45 48 829111 "PAN HIGH SCHOOL SIYARI GOMIA" Jharkhand Bokaro Free
19-05-2021 45 48 829111 "PAN BHAWAN SASBEDA WEST" Jharkhand Bokaro Free
19-05-2021 45 48 827013 "PAN PINDRAJORA" Jharkhand Bokaro Free
20-05-2021 45 48 827013 "BGH 02 BOKARO" Jharkhand Bokaro Free
14-05-2021 45 47 827013 "PAN NAWADIH CHAS" Jharkhand Bokaro Free
14-05-2021 45 47 827013 "HSC KURRA CHAS" Jharkhand Bokaro Free
14-05-2021 45 47 827010 "PAN BHAWAN JAINA JARIDIH" Jharkhand Bokaro Free
15-05-2021 45 47 827013 "PAN KHAMARBENDI" Jharkhand Bokaro Free
16-05-2021 45 47 829144 "PAN BHAWAN TELO MIDDLE NAWADIH" Jharkhand Bokaro Free
16-05-2021 45 47 829111 "PAN BHAWAN SWANG UTTRI" Jharkhand Bokaro Free
16-05-2021 45 47 829144 "PAN NARYANPUR NAWADIH" Jharkhand Bokaro Free
14-05-2021 45 46 827013 "NUHM KAUSHAL VIKASH KENDRA 14" Jharkhand Bokaro Free
14-05-2021 45 46 829144 "PAN BHENDRA" Jharkhand Bokaro Free
15-05-2021 45 46 829144 "PAN BHAWAN PENK" Jharkhand Bokaro Free
16-05-2021 45 46 827013 "PAN PUPUNKI CHAS" Jharkhand Bokaro Free
19-05-2021 45 46 827013 "BGH 03 BOKARO" Jharkhand Bokaro Free
19-05-2021 45 46 828403 "PAN DUGDA NORTH" Jharkhand Bokaro Free
19-05-2021 45 46 829104 "PAN BODIA North Bermo" Jharkhand Bokaro Free
19-05-2021 45 46 827010 "PAN TANTRI SOUTH" Jharkhand Bokaro Free
19-05-2021 45 46 829144 "PAN BHALMARA NAWADIH" Jharkhand Bokaro Free
14-05-2021 45 45 827013 "NUHM VIKASH KENDRA 25" Jharkhand Bokaro Free
15-05-2021 45 45 829104 "Pan Bhawan Govindpur B Bermo" Jharkhand Bokaro Free
15-05-2021 45 45 828134 "PAN CKY SIMULIYA" Jharkhand Bokaro Free
18-05-2021 45 45 827302 "PAN KHAIRACHATAR KASAMR" Jharkhand Bokaro Free
18-05-2021 45 45 829111 "PAN SWANG GOMIA" Jharkhand Bokaro Free
19-05-2021 45 45 827010 "PAN TANTRI NORTH" Jharkhand Bokaro Free
15-05-2021 45 44 828134 "PAN MADHRA" Jharkhand Bokaro Free
15-05-2021 45 44 829104 "Pan Bhawan Govindpur A Bermo" Jharkhand Bokaro Free
16-05-2021 45 44 829121 "PAN CHALKARI UTHRI" Jharkhand Bokaro Free
19-05-2021 45 44 829104 "Pan Bhawan Govindpur F Bermo" Jharkhand Bokaro Free
20-05-2021 45 43 827013 "BGH 03 BOKARO" Jharkhand Bokaro Free
14-05-2021 45 42 827013 "SDH CHAS" Jharkhand Bokaro Free
14-05-2021 45 42 827013 "BGH BOKARO" Jharkhand Bokaro Free
15-05-2021 45 42 827013 "NUHM KAUSHAL VIKASH KENDRA 14" Jharkhand Bokaro Free
15-05-2021 45 42 827013 "NUHM VIKASH KENDRA 25" Jharkhand Bokaro Free
16-05-2021 45 41 828134 "PAN BHOJUDIH-EAST CKY" Jharkhand Bokaro Free
16-05-2021 45 41 827013 "PAN KANDRA 1 CHAS" Jharkhand Bokaro Free
19-05-2021 45 41 827302 "PAN KHAIRACHATAR KASAMR" Jharkhand Bokaro Free
19-05-2021 45 41 828403 "PAN DUGDA SOUTH" Jharkhand Bokaro Free
14-05-2021 45 40 827013 "ANM TC ROOM 1" Jharkhand Bokaro Free
15-05-2021 45 39 827013 "PAN KALAPATHAR CHAS" Jharkhand Bokaro Free
18-05-2021 45 39 829111 "PAN HAZARI GOMIA" Jharkhand Bokaro Free
14-05-2021 45 35 827013 "ANM TC MALTI LUXURIA CITY" Jharkhand Bokaro Free
18-05-2021 45 35 828403 "PAN DUGDA NORTH" Jharkhand Bokaro Free
17-05-2021 45 34 827013 "BGH 03 BOKARO" Jharkhand Bokaro Free
19-05-2021 45 33 827013 "BGH 02 BOKARO" Jharkhand Bokaro Free
18-05-2021 45 32 827013 "BGH 03 BOKARO" Jharkhand Bokaro Free
18-05-2021 45 31 829104 "Pan Bhawan Govindpur E Bermo" Jharkhand Bokaro Free
15-05-2021 45 27 829111 "PAN KATHARA" Jharkhand Bokaro Free
16-05-2021 45 24 829104 "Pan Govindpur C Bermo" Jharkhand Bokaro Free
16-05-2021 45 22 829104 "Pan Bhawan Govindpur D Bermo" Jharkhand Bokaro Free
18-05-2021 45 20 827013 "BGH 02 BOKARO" Jharkhand Bokaro Free
16-05-2021 45 18 827013 "BGH 03 BOKARO" Jharkhand Bokaro Free
14-05-2021 45 8 827013 "BGH 03 BOKARO" Jharkhand Bokaro Free
14-05-2021 45 8 827013 "BGH 02 BOKARO" Jharkhand Bokaro Free
20-05-2021 45 7 827013 "BGH 01 BOKARO" Jharkhand Bokaro Free
14-05-2021 45 3 827013 "BGH 01 BOKARO" Jharkhand Bokaro Free
16-05-2021 45 3 828403 "PAN RANGAMATI EAST" Jharkhand Bokaro Free
17-05-2021 45 2 827013 "BGH 02 BOKARO" Jharkhand Bokaro Free
16-05-2021 45 1 827013 "BGH 01 BOKARO" Jharkhand Bokaro Free
18-05-2021 45 1 827013 "BGH 01 BOKARO" Jharkhand Bokaro Free
